Wavelength,Red,Green,Blue
676,0.0243,0.0083,0.0065
677,0.0225,0.0078,0.0062
678,0.0207,0.0073,0.006
679,0.0188,0.0067,0.0057
680,0.017,0.0062,0.0055
681,0.0158,0.0058,0.0052
682,0.0145,0.0054,0.005
683,0.0133,0.0049,0.0048
684,0.0121,0.0045,0.0045
685,0.0108,0.0041,0.0043
686,0.0102,0.004,0.004
687,0.0096,0.0039,0.0038
688,0.0089,0.0038,0.0035
689,0.0083,0.0036,0.0033
690,0.0076,0.0035,0.003
691,0.0073,0.0033,0.0022
692,0.0069,0.0032,0.0014
693,0.0066,0.003,0.0007
694,0.0063,0.0028,-0.0001
695,0.0059,0.0026,-0.0009
696,0.0055,0.0026,-0.0001
697,0.0051,0.0026,0.0007
698,0.0048,0.0027,0.0015
699,0.0044,0.0027,0.0023
700,0.004,0.0027,0.0031
701,0.0039,0.0026,0.0032
702,0.0038,0.0025,0.0033
703,0.0038,0.0024,0.0035
704,0.0037,0.0023,0.0036
705,0.0036,0.0022,0.0037
706,0.0034,0.0022,0.0039
707,0.0031,0.0022,0.0041
708,0.0029,0.0022,0.0043
709,0.0026,0.0022,0.0045
710,0.0024,0.0022,0.0047
711,0.0026,0.002,0.0043
712,0.0029,0.0018,0.0038
713,0.0031,0.0017,0.0034
714,0.0034,0.0015,0.003
715,0.0036,0.0013,0.0025
716,0.0033,0.0014,0.0016
717,0.0031,0.0015,0.0007
718,0.0028,0.0016,-0.0003
719,0.0026,0.0016,-0.0012
720,0.0023,0.0017,-0.0021
721,0.0025,0.0013,-0.0015
722,0.0027,0.001,-0.0009
723,0.0028,0.0006,-0.0003
724,0.003,0.0002,0.0003
725,0.0031,-0.0002,0.0009
726,0.0027,-0.0001,0.0011
727,0.0022,0.0001,0.0013
728,0.0018,0.0002,0.0014
729,0.0013,0.0004,0.0016
730,0.0009,0.0005,0.0018
731,0.0008,0.0005,0.0017
732,0.0008,0.0004,0.0017
733,0.0008,0.0003,0.0016
734,0.0007,0.0003,0.0016
